threshold,TP,FP,FN,Precision,Recall,F1,Detections
30,15,48,85,0.23809523809523808,0.15,0.18404907975460125,63
35,15,48,85,0.23809523809523808,0.15,0.18404907975460125,63
40,15,42,85,0.2631578947368421,0.15,0.1910828025477707,57
45,15,42,85,0.2631578947368421,0.15,0.1910828025477707,57
50,12,27,88,0.3076923076923077,0.12,0.17266187050359713,39
55,5,10,95,0.3333333333333333,0.05,0.08695652173913045,15
60,5,5,95,0.5,0.05,0.09090909090909091,10
65,5,0,95,1.0,0.05,0.09523809523809523,5
70,5,0,95,1.0,0.05,0.09523809523809523,5
75,0,0,100,0,0.0,0,0
80,0,0,100,0,0.0,0,0
85,0,0,100,0,0.0,0,0
90,0,0,100,0,0.0,0,0
